GENESIS-Tabelle: 21371-101
Hochschulfinanzen: Einnahmen (EUR), Einnahmenarten,;;;;;;;;;
Hochschulen, Lehr- und Forschungsbereiche -;;;;;;;;;
Sachsen - Jahre (2006 bis 2014);;;;;;;;;
Hochschulfinanzstatistik, jährlich;;;;;;;;;
Freistaat Sachsen;;;;;;;;;
Einnahmen der Hochschulen (Tsd. EUR);;;;;;;;;
;;;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten;Einnahmenarten
;;;Insgesamt;Beiträge der Studenten;Einnahmen aus wirtschaftl. Tätigkeit und Vermögen;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;Drittmittel für Lehre und Forschung;And. Einnahmen aus Zuwendungen/Zuschüssen (oh.T.)
;;;;Insgesamt;Insgesamt;Insgesamt;vom öffentlichen  Bereich (ohne Träger);vom anderen Bereich (ohne Träger);Insgesamt
Universitätskliniken;  Klinisch-Praktische Veterinärmedizin;2014;-;-;-;-;-;-;-
Universitätskliniken;  Klinisch-Theoretische Veterinärmedizin;2014;-;-;-;-;-;-;-
Universitätskliniken;  Veterinärmedizin allgemein;2014;-;-;-;-;-;-;-
Universitätskliniken;  Vorklinische Veterinärmedizin;2014;-;-;-;-;-;-;-
Universitätskliniken;Agrar-, Forst- und Ernährungswissenschaften;2014;-;-;-;-;-;-;-
Universitätskliniken;  Agrar-, Forst- und Ernährungswissenschaften allg.;2014;-;-;-;-;-;-;-
Universitätskliniken;  Agrarw., Lebensmittel- u. Getränketechnologie;2014;-;-;-;-;-;-;-
Universitätskliniken;  Ernährungs- und Haushaltswissenschaften;2014;-;-;-;-;-;-;-
Universitätskliniken;  Forstwissenschaft, Holzwirtschaft;2014;-;-;-;-;-;-;-
Universitätskliniken;  Landespflege, Umweltgestaltung;2014;-;-;-;-;-;-;-
Universitätskliniken;Ingenieurwissenschaften;2014;-;-;-;-;-;-;-
Universitätskliniken;  Architektur;2014;-;-;-;-;-;-;-
Universitätskliniken;  Bauingenieurwesen;2014;-;-;-;-;-;-;-
Universitätskliniken;  Bergbau, Hüttenwesen;2014;-;-;-;-;-;-;-
Universitätskliniken;  Elektrotechnik;2014;-;-;-;-;-;-;-
Universitätskliniken;  Ingenieurwissenschaften allgemein;2014;-;-;-;-;-;-;-
Universitätskliniken;  Maschinenbau/Verfahrenstechnik;2014;-;-;-;-;-;-;-
